method,j,r,n_trials,n_detected,detect_rate,median_time_to_detect
Poisson-MDSS,2,1.5,2,0,0.0,
Poisson-MDSS,2,2.0,2,0,0.0,
Poisson-MDSS,2,3.0,2,0,0.0,
Poisson-MDSS,3,1.5,2,0,0.0,
Poisson-MDSS,3,2.0,2,0,0.0,
Poisson-MDSS,3,3.0,2,0,0.0,
fgss,2,1.5,2,0,0.0,
fgss,2,2.0,2,0,0.0,
fgss,2,3.0,2,0,0.0,
fgss,3,1.5,2,0,0.0,
fgss,3,2.0,2,0,0.0,
fgss,3,3.0,2,1,0.5,3.0
fpgrowth_epm,2,1.5,2,0,0.0,
fpgrowth_epm,2,2.0,2,0,0.0,
fpgrowth_epm,2,3.0,2,1,0.5,3.0
fpgrowth_epm,3,1.5,2,0,0.0,
fpgrowth_epm,3,2.0,2,1,0.5,4.0
fpgrowth_epm,3,3.0,2,0,0.0,
moving_average_mdss,2,1.5,2,0,0.0,
moving_average_mdss,2,2.0,2,0,0.0,
moving_average_mdss,2,3.0,2,0,0.0,
moving_average_mdss,3,1.5,2,0,0.0,
moving_average_mdss,3,2.0,2,0,0.0,
moving_average_mdss,3,3.0,2,0,0.0,
