method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,2,1.5,2022-Q1,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,29.960669228479386,0.4375,,,
Poisson-MDSS,2,1.5,2022-Q1,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,12.44720618040138,0.75,0.08333333333333333,0.5,0.0909090909090909
Poisson-MDSS,2,1.5,2022-Q2,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,47.25005690663796,0.4375,,,
Poisson-MDSS,2,1.5,2022-Q2,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,11.612054027920157,0.8125,0.2222222222222222,1.0,0.2222222222222222
Poisson-MDSS,2,1.5,2022-Q3,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,5.642705452175608,0.625,,,
Poisson-MDSS,2,1.5,2022-Q3,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,24.796335563940918,0.1875,0.2,1.0,0.2
Poisson-MDSS,2,1.5,2022-Q4,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,5.796178723099212,0.6875,,,
Poisson-MDSS,2,1.5,2022-Q4,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,47.71793503776603,0.125,0.2,1.0,0.2
Poisson-MDSS,2,1.5,2023-Q1,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,5.149343252855703,0.9375,,,
Poisson-MDSS,2,1.5,2023-Q1,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,13.171607511277843,0.8125,0.25,1.0,0.25
Poisson-MDSS,2,1.5,2023-Q2,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,0.46604801876398216,0.9375,,,
Poisson-MDSS,2,1.5,2023-Q2,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,0.0,1.0,0.0,0.0,
Poisson-MDSS,2,1.5,2023-Q3,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,13.231574603574366,0.8125,,,
Poisson-MDSS,2,1.5,2023-Q3,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,4.6754193449693995,1.0,0.0,0.0,
Poisson-MDSS,2,1.5,2023-Q4,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,73.81863977737154,0.3125,,,
Poisson-MDSS,2,1.5,2023-Q4,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,110.45423373480966,0.0625,0.2,1.0,0.2
Poisson-MDSS,2,1.5,2024-Q1,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,6.56605995248395,0.8125,,,
Poisson-MDSS,2,1.5,2024-Q1,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,226.11782997583208,0.0625,0.25,1.0,0.25
Poisson-MDSS,2,1.5,2024-Q2,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,165.55482042217204,0.0625,,,
Poisson-MDSS,2,1.5,2024-Q2,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,0.0,1.0,0.0,0.0,
Poisson-MDSS,2,1.5,2024-Q3,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,92.92871176919546,0.4375,,,
Poisson-MDSS,2,1.5,2024-Q3,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,146.44456217930403,0.25,0.25,1.0,0.25
Poisson-MDSS,2,1.5,2024-Q4,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,13.699518519487476,0.6875,,,
Poisson-MDSS,2,1.5,2024-Q4,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,35.26472323138597,0.5,0.1111111111111111,0.5,0.125
Poisson-MDSS,2,1.5,2022-Q1,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,5.312363050350621,0.8125,,,
Poisson-MDSS,2,1.5,2022-Q1,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,29.72012752582063,0.4375,0.14285714285714285,1.0,0.14285714285714285
