method,j,r,n_clean,fpr,n_injected,power,mean_jaccard_detected,mean_jaccard_all,mean_recall_detected,mean_recall_all,mean_precision_detected,mean_precision_all
Poisson-MDSS,2,1.5,24,0.0,24,0.0,,0.1410500719324249,,0.7291666666666666,,0.16396015282569903
Poisson-MDSS,2,2.0,4,0.0,4,0.0,,0.050505050505050504,,0.25,,0.1125
Poisson-MDSS,2,3.0,16,0.0,16,0.0,,0.1050083596958597,,0.59375,,0.1445436507936508
Poisson-MDSS,3,1.5,12,0.0,12,0.0,,0.16349969474969475,,0.611111111111111,,0.20557692307692305
Poisson-MDSS,3,2.0,1,0.0,1,0.0,,0.07142857142857142,,0.3333333333333333,,0.08333333333333333
Poisson-MDSS,3,3.0,7,0.0,7,0.0,,0.15767427017427016,,0.619047619047619,,0.1709766424052138
fgss,2,1.5,169,0.09467455621301775,169,0.2603550295857988,0.10839488218023959,0.11106967627361676,0.875,0.7544378698224852,0.10962920105194235,0.11323320990434954
fgss,2,2.0,139,0.10071942446043165,139,0.2517985611510791,0.11287683236710214,0.1179591582190865,0.8142857142857143,0.7553956834532374,0.11423193384825403,0.11951530297243816
fgss,2,3.0,151,0.0728476821192053,151,0.3576158940397351,0.13588016388368981,0.14317969529587635,0.9629629629629629,0.8874172185430463,0.13609761618447547,0.14366362086258336
fgss,3,1.5,113,0.09734513274336283,113,0.24778761061946902,0.18819119569064283,0.1730460148574343,0.880952380952381,0.7610619469026547,0.19113158083746315,0.17957964659552372
fgss,3,2.0,118,0.11016949152542373,118,0.22033898305084745,0.16573979524559113,0.16952431201367738,0.8205128205128205,0.7401129943502825,0.16932351191129158,0.17587190537522893
fgss,3,3.0,126,0.10317460317460317,126,0.42063492063492064,0.18609541100486823,0.201437486416478,0.9433962264150944,0.8941798941798942,0.18727729885434763,0.20389531107226078
fpgrowth_epm,2,1.5,152,0.013157894736842105,152,0.03289473684210526,0.3333333333333333,0.1212719298245614,0.6,0.23355263157894737,0.36666666666666664,0.14473684210526314
fpgrowth_epm,2,2.0,130,0.06153846153846154,130,0.1,0.16282051282051282,0.1335897435897436,0.3076923076923077,0.25,0.1987179487179487,0.17692307692307693
fpgrowth_epm,2,3.0,176,0.08522727272727272,176,0.09659090909090909,0.15196078431372548,0.16581439393939393,0.23529411764705882,0.26704545454545453,0.20588235294117646,0.2372159090909091
fpgrowth_epm,3,1.5,122,0.040983606557377046,122,0.040983606557377046,0.11333333333333333,0.15587431693989073,0.2,0.2540983606557377,0.18333333333333332,0.22745901639344263
fpgrowth_epm,3,2.0,82,0.04878048780487805,82,0.08536585365853659,0.24523809523809526,0.14471544715447152,0.38095238095238093,0.22357723577235772,0.3095238095238095,0.2113821138211382
fpgrowth_epm,3,3.0,118,0.07627118644067797,118,0.15254237288135594,0.33240740740740743,0.2724576271186441,0.42592592592592593,0.36440677966101687,0.5,0.4067796610169492
moving_average_mdss,2,1.5,12,0.0,12,0.0,,0.1420523444420503,,0.7916666666666666,,0.14239956666427253
moving_average_mdss,2,2.0,16,0.0,16,0.0,,0.09115386623610308,,0.5625,,0.09454567083243554
moving_average_mdss,2,3.0,21,0.0,21,0.0,,0.09764415478701191,,0.5714285714285714,,0.10097217597217596
moving_average_mdss,3,1.5,11,0.0,11,0.0,,0.10768928041655314,,0.4242424242424242,,0.12235643144734053
moving_average_mdss,3,2.0,11,0.0,11,0.0,,0.11929526207601074,,0.4848484848484848,,0.13436021049657415
moving_average_mdss,3,3.0,11,0.0,11,0.0,,0.16297881411517776,,0.6666666666666666,,0.171237222373586
