event_id,claim_month,claim_date,peril_type,syndicate,group_division,group_class,sub_class,placing_basis_group,leader_status,new_renewal,risk_code,is_group_cat_event,loss_region,loss_census_division,loss_census_region
B0180ME1702848AB_1,2019-03,2019-03-13,Tropical Cyclone - Wind (TC),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,GAS PROCESSING & STORAGE,OPEN MARKET,FOLLOW,Renewal,EF,True,FL,South Atlantic,South
B0180ME1918163AA_1,2021-01,2021-01-31,Non-catastrophe - Accident (NC-A),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,MINING - GENERAL MINING,OPEN MARKET,FOLLOW,Renewal,P2,False,CA,Pacific,West
B0180ME2018163AA_1,2021-07,2021-07-19,Non-catastrophe - Mechanical Failure (NC-M),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,MINING - GENERAL MINING,OPEN MARKET,FOLLOW,Renewal,P2,False,TX,West South Central,South
B0180ME2321106AA_1,2024-08,2024-08-20,Non-catastrophe - Vandalism (NC-V),1618.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,MINING - COAL ABOVE GROUND,OPEN MARKET - DIRECT,FOLLOW,Renewal,P2,False,PA,Middle Atlantic,Northeast
B0180ME2323518AC_1,2024-08,2024-08-14,Non-catastrophe - Fire (NC-F),1618.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,MINING - ALL OTHER BELOW GROUND,OPEN MARKET - DIRECT,FOLLOW,Renewal,P2,False,WV,South Atlantic,South
B0180ME2325819AA_1,2024-07,2024-07-04,Severe Storm - Severe Thunderstorm (ST),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,MANUFACTURING - HEAVY,OPEN MARKET,LEAD,New,P2,False,SC,South Atlantic,South
B0180PF2310544AA_1,2024-11,2024-11-15,Non-catastrophe - Mechanical Failure (NC-M),1618.0,PROPERTY OM,COMMERCIAL WW,PULP & PAPER,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P3,False,WI,East North Central,Midwest
B0180PG1601216AA_1,2018-12,2018-12-17,Non-catastrophe - Pipeburst (NC-P),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,REAL ESTATE - MIXED,OPEN MARKET,FOLLOW,Renewal,P2,False,DC,South Atlantic,South
B0180PG1700158AB_1,2018-05,2018-05-11,Non-catastrophe - Fire (NC-F),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,APARTMENTS GARDEN STYLE,OPEN MARKET,FOLLOW,Renewal,P2,False,LA,West South Central,South
B0180PG1700158AC_1,2018-04,2018-04-15,Severe Storm - Hail (HL),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,APARTMENTS GARDEN STYLE,OPEN MARKET,FOLLOW,Renewal,P2,False,TX,West South Central,South
B0180PG1700158AD_1,2019-04,2019-04-03,Severe Storm - Hail (HL),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,APARTMENTS GARDEN STYLE,OPEN MARKET,FOLLOW,Renewal,P2,False,TX,West South Central,South
B0180PG1700158AE_1,2018-07,2018-07-15,Severe Storm - Hail (HL),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,APARTMENTS GARDEN STYLE,OPEN MARKET,FOLLOW,Renewal,P2,False,LA,West South Central,South
B0180PG1700158AF_1,2018-02,2018-02-09,Other Perils - Wildfire/Bushfire (WF),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,APARTMENTS GARDEN STYLE,OPEN MARKET,FOLLOW,Renewal,P2,True,CA,Pacific,West
B0180PG1700182AA_1,2018-10,2018-10-04,Tropical Cyclone - Precipitation Flood (PF),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,SCHOOLS,OPEN MARKET,FOLLOW,Renewal,P2,True,TX,West South Central,South
B0180PG1700182AB_1,2018-06,2018-06-29,Non-catastrophe - Pipeburst (NC-P),2987.0,PROPERTY OM,COMMERCIAL NA OPEN MARKET,SCHOOLS,OPEN MARKET,FOLLOW,Renewal,P2,False,TX,West South Central,South
