method,j,r,fpr,power,precision_detected,recall_detected,jaccard_detected,n_common_injected
Poisson-MDSS,2,1.5,0.045454545454545456,0.09090909090909091,0.11327214452214451,0.625,0.1063034188034188,44
Poisson-MDSS,2,2.0,0.13793103448275862,0.4827586206896552,0.1404613243898958,0.8571428571428571,0.13728672121529265,29
Poisson-MDSS,2,3.0,0.18,0.34,0.1511488991592798,0.7941176470588235,0.1486979187671229,50
Poisson-MDSS,3,1.5,0.1111111111111111,0.1111111111111111,0.22222222222222224,0.6666666666666666,0.2,9
Poisson-MDSS,3,2.0,0.0,0.25,0.3,1.0,0.3,4
Poisson-MDSS,3,3.0,0.5,0.5,0.2727272727272727,1.0,0.2727272727272727,2
fgss,2,1.5,0.09090909090909091,0.22727272727272727,0.09653594771241827,0.8,0.09485906035828634,44
fgss,2,2.0,0.0,0.10344827586206896,0.1072261072261072,0.6666666666666666,0.10286935286935284,29
fgss,2,3.0,0.1,0.38,0.1291142958936669,1.0,0.1291142958936669,50
fgss,3,1.5,0.2222222222222222,0.4444444444444444,0.18194826007326004,0.8333333333333333,0.17636217948717944,9
fgss,3,2.0,0.25,0.5,0.19871794871794865,1.0,0.19871794871794865,4
fgss,3,3.0,0.5,0.5,0.0909090909090909,0.3333333333333333,0.0769230769230769,2
fpgrowth_epm,2,1.5,0.022727272727272728,0.022727272727272728,0.5,1.0,0.5,44
fpgrowth_epm,2,2.0,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,29
fpgrowth_epm,2,3.0,0.06,0.1,0.2333333333333333,0.3,0.2,50
fpgrowth_epm,3,1.5,0.0,0.0,,,,9
fpgrowth_epm,3,2.0,0.0,0.0,,,,4
fpgrowth_epm,3,3.0,0.0,0.0,,,,2
moving_average_mdss,2,1.5,0.09090909090909091,0.11363636363636363,0.18277777777777776,0.9,0.18,44
moving_average_mdss,2,2.0,0.10344827586206896,0.13793103448275862,0.14191176470588235,0.75,0.13496732026143793,29
moving_average_mdss,2,3.0,0.06,0.18,0.2012345679012346,0.9444444444444444,0.20022446689113357,50
moving_average_mdss,3,1.5,0.1111111111111111,0.0,,,,9
moving_average_mdss,3,2.0,0.0,0.0,,,,4
moving_average_mdss,3,3.0,0.0,0.0,,,,2
