method,j,r,n_ramp_common,n_detected,median_ttd
Poisson-MDSS,2,1.5,50,21,2.0
Poisson-MDSS,2,2.0,50,30,2.5
Poisson-MDSS,2,3.0,50,31,3.0
Poisson-MDSS,3,1.5,50,16,3.0
Poisson-MDSS,3,2.0,50,21,2.0
Poisson-MDSS,3,3.0,50,22,2.0
fgss,2,1.5,50,22,3.0
fgss,2,2.0,50,22,2.5
fgss,2,3.0,50,27,3.0
fgss,3,1.5,50,24,3.0
fgss,3,2.0,50,16,2.5
fgss,3,3.0,50,29,3.0
fpgrowth_epm,2,1.5,50,6,2.0
fpgrowth_epm,2,2.0,50,13,3.0
fpgrowth_epm,2,3.0,50,10,3.0
fpgrowth_epm,3,1.5,50,6,1.0
fpgrowth_epm,3,2.0,50,13,3.0
fpgrowth_epm,3,3.0,50,15,2.0
moving_average_mdss,2,1.5,50,10,3.0
moving_average_mdss,2,2.0,50,21,3.0
moving_average_mdss,2,3.0,50,27,2.0
moving_average_mdss,3,1.5,50,17,2.0
moving_average_mdss,3,2.0,50,20,2.0
moving_average_mdss,3,3.0,50,21,3.0
