method,j,r,trial,onset_window,S,time_to_detect,censored
Poisson-MDSS,2,1.5,0,2022-Q1,"{'new_renewal': ['Renewal'], 'leader_status': ['LEAD']}",1.0,False
Poisson-MDSS,2,1.5,1,2023-Q3,"{'risk_code': ['P6'], 'new_renewal': ['Renewal']}",,True
Poisson-MDSS,2,1.5,2,2024-Q1,"{'peril_type': ['Non-catastrophe - Fire (NC-F)'], 'syndicate': [1618.0]}",,True
Poisson-MDSS,2,1.5,3,2023-Q1,"{'loss_census_division': ['East South Central'], 'syndicate': [1618.0]}",4.0,False
Poisson-MDSS,2,1.5,4,2023-Q2,"{'new_renewal': ['Renewal'], 'peril_type': ['Tropical Cyclone - Precipitation Flood (PF)']}",1.0,False
Poisson-MDSS,2,1.5,5,2023-Q1,"{'syndicate': [2987.0], 'new_renewal': ['Renewal']}",4.0,False
Poisson-MDSS,2,1.5,6,2022-Q4,"{'syndicate': [1618.0], 'new_renewal': ['New']}",,True
Poisson-MDSS,2,1.5,7,2023-Q1,"{'placing_basis_group': ['OPEN MARKET'], 'syndicate': [2987.0]}",1.0,False
Poisson-MDSS,2,1.5,8,2022-Q4,"{'loss_census_division': ['Mountain'], 'new_renewal': ['New']}",,True
Poisson-MDSS,2,1.5,9,2023-Q4,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'peril_type': ['Non-catastrophe - Vandalism (NC-V)']}",2.0,False
Poisson-MDSS,2,1.5,10,2022-Q4,"{'loss_census_division': ['South Atlantic'], 'group_class': ['COMMERCIAL NA OPEN MARKET']}",4.0,False
Poisson-MDSS,2,1.5,11,2022-Q1,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['West South Central']}",,True
Poisson-MDSS,2,1.5,12,2024-Q1,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'syndicate': [1618.0]}",1.0,False
Poisson-MDSS,2,1.5,13,2023-Q1,"{'loss_census_division': ['Mountain'], 'syndicate': [2987.0]}",2.0,False
Poisson-MDSS,2,1.5,14,2023-Q2,"{'peril_type': ['Other Perils - Wildfire/Bushfire (WF)'], 'risk_code': ['P2']}",,True
Poisson-MDSS,2,1.5,15,2023-Q4,"{'syndicate': [1618.0], 'peril_type': ['Tropical Cyclone - Precipitation Flood (PF)']}",,True
Poisson-MDSS,2,1.5,16,2023-Q2,"{'loss_census_division': ['East South Central'], 'placing_basis_group': ['OPEN MARKET - DIRECT']}",1.0,False
Poisson-MDSS,2,1.5,17,2022-Q2,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'peril_type': ['Non-catastrophe - Mechanical Failure (NC-M)']}",,True
Poisson-MDSS,2,1.5,18,2023-Q3,"{'new_renewal': ['Renewal'], 'syndicate': [1618.0]}",,True
Poisson-MDSS,2,1.5,19,2023-Q3,"{'leader_status': ['LEAD'], 'loss_census_division': ['South Atlantic']}",,True
Poisson-MDSS,2,1.5,20,2022-Q3,"{'loss_census_division': ['New England'], 'new_renewal': ['Renewal']}",2.0,False
Poisson-MDSS,2,1.5,21,2023-Q1,"{'placing_basis_group': ['OPEN MARKET - DIRECT'], 'peril_type': ['Severe Storm - Severe Thunderstorm (ST)']}",,True
Poisson-MDSS,2,1.5,22,2022-Q4,"{'new_renewal': ['New'], 'placing_basis_group': ['OPEN MARKET']}",,True
Poisson-MDSS,2,1.5,23,2024-Q1,"{'new_renewal': ['New'], 'loss_census_division': ['Middle Atlantic']}",1.0,False
Poisson-MDSS,2,1.5,24,2022-Q4,"{'placing_basis_group': ['OPEN MARKET'], 'peril_type': ['Severe Storm - Hail (HL)']}",,True
Poisson-MDSS,2,1.5,25,2023-Q3,"{'loss_census_division': ['South Atlantic'], 'leader_status': ['FOLLOW']}",2.0,False
Poisson-MDSS,2,1.5,26,2023-Q1,"{'loss_census_division': ['West South Central'], 'leader_status': ['LEAD']}",,True
Poisson-MDSS,2,1.5,27,2022-Q2,"{'syndicate': [1618.0], 'group_class': ['COMMERCIAL NA OPEN MARKET']}",,True
Poisson-MDSS,2,1.5,28,2023-Q3,"{'leader_status': ['LEAD'], 'new_renewal': ['Renewal']}",,True
Poisson-MDSS,2,1.5,29,2022-Q2,"{'peril_type': ['Non-catastrophe - Weather (NC-W)'], 'leader_status': ['FOLLOW']}",4.0,False
Poisson-MDSS,2,1.5,30,2022-Q4,"{'new_renewal': ['Renewal'], 'placing_basis_group': ['OPEN MARKET - DIRECT']}",,True
Poisson-MDSS,2,1.5,31,2023-Q2,"{'leader_status': ['LEAD'], 'new_renewal': ['Renewal']}",,True
Poisson-MDSS,2,1.5,32,2023-Q2,"{'loss_census_division': ['West South Central'], 'peril_type': ['Other Perils - Inland Flood (IF)']}",,True
Poisson-MDSS,2,1.5,33,2022-Q1,"{'new_renewal': ['Renewal'], 'peril_type': ['Severe Storm - Hail (HL)']}",,True
Poisson-MDSS,2,1.5,34,2023-Q4,"{'syndicate': [2987.0], 'leader_status': ['LEAD']}",3.0,False
Poisson-MDSS,2,1.5,35,2022-Q2,"{'syndicate': [1618.0], 'loss_census_division': ['Mountain']}",3.0,False
Poisson-MDSS,2,1.5,36,2023-Q4,"{'syndicate': [2987.0], 'group_class': ['COMMERCIAL NA OPEN MARKET']}",3.0,False
Poisson-MDSS,2,1.5,37,2022-Q4,"{'loss_census_division': ['East South Central'], 'new_renewal': ['Renewal']}",,True
Poisson-MDSS,2,1.5,38,2023-Q3,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'peril_type': ['Severe Storm - Winter Storm (WS)']}",,True
Poisson-MDSS,2,1.5,39,2022-Q1,"{'new_renewal': ['Renewal'], 'syndicate': [1618.0]}",3.0,False
Poisson-MDSS,2,1.5,40,2022-Q1,"{'loss_census_division': ['Pacific'], 'placing_basis_group': ['OPEN MARKET']}",,True
Poisson-MDSS,2,1.5,41,2023-Q4,"{'new_renewal': ['Renewal'], 'peril_type': ['Other Perils - Wildfire/Bushfire (WF)']}",,True
Poisson-MDSS,2,1.5,42,2024-Q1,"{'leader_status': ['FOLLOW'], 'loss_census_division': ['New England']}",3.0,False
Poisson-MDSS,2,1.5,43,2024-Q1,"{'group_class': ['COMMERCIAL NA OPEN MARKET'], 'risk_code': ['P6']}",2.0,False
Poisson-MDSS,2,1.5,44,2022-Q2,"{'peril_type': ['Other Perils - Wildfire/Bushfire (WF)'], 'syndicate': [1618.0]}",,True
Poisson-MDSS,2,1.5,45,2022-Q1,"{'new_renewal': ['Renewal'], 'syndicate': [1618.0]}",3.0,False
Poisson-MDSS,2,1.5,46,2023-Q4,"{'new_renewal': ['Renewal'], 'placing_basis_group': ['OPEN MARKET']}",,True
Poisson-MDSS,2,1.5,47,2023-Q4,"{'new_renewal': ['New'], 'peril_type': ['Non-catastrophe - Fire (NC-F)']}",,True
Poisson-MDSS,2,1.5,48,2022-Q4,"{'loss_census_division': ['Mountain'], 'peril_type': ['Non-catastrophe - Accident (NC-A)']}",,True
Poisson-MDSS,2,1.5,49,2022-Q4,"{'new_renewal': ['Renewal'], 'leader_status': ['LEAD']}",,True
Poisson-MDSS,2,2.0,0,2023-Q2,"{'new_renewal': ['Renewal'], 'placing_basis_group': ['OPEN MARKET']}",2.0,False
Poisson-MDSS,2,2.0,1,2022-Q2,"{'leader_status': ['FOLLOW'], 'peril_type': ['Non-catastrophe - Mechanical Failure (NC-M)']}",3.0,False
