method,j,r,k_windows,cum_detect_prob,cum_lo,cum_hi,n_detected_by_k,n_total
poisson_mdss,2,1.5,1,0.12,0.05617600150932274,0.23804817383202992,6,50
poisson_mdss,2,1.5,2,0.22,0.1275391597021442,0.3524154958125367,11,50
poisson_mdss,2,1.5,3,0.34,0.2243694922250009,0.478461739497674,17,50
poisson_mdss,2,1.5,4,0.42,0.2937500335471198,0.5576655823142176,21,50
poisson_mdss,2,2.0,1,0.18,0.09770192670234178,0.30796053674300783,9,50
poisson_mdss,2,2.0,2,0.3,0.19103553500880954,0.437503504644534,15,50
poisson_mdss,2,2.0,3,0.46,0.3296965219222435,0.5960112860084253,23,50
poisson_mdss,2,2.0,4,0.6,0.4618143774758936,0.7239161026974346,30,50
poisson_mdss,2,3.0,1,0.08,0.03154951408859298,0.18838246918342838,4,50
poisson_mdss,2,3.0,2,0.22,0.1275391597021442,0.3524154958125367,11,50
poisson_mdss,2,3.0,3,0.38,0.25862789310193596,0.5184955306900703,19,50
poisson_mdss,2,3.0,4,0.62,0.4815044693099298,0.7413721068980641,31,50
poisson_mdss,3,1.5,1,0.08,0.03154951408859298,0.18838246918342838,4,50
poisson_mdss,3,1.5,2,0.14,0.06950833427016294,0.2618619371058554,7,50
poisson_mdss,3,1.5,3,0.2,0.1124375001577611,0.3303710593222542,10,50
poisson_mdss,3,1.5,4,0.32,0.20758216260656845,0.45810297308144077,16,50
poisson_mdss,3,2.0,1,0.1,0.04347576493189041,0.21360231437479654,5,50
poisson_mdss,3,2.0,2,0.28,0.17474170665911232,0.4166512369595657,14,50
poisson_mdss,3,2.0,3,0.36,0.24138749651846741,0.49858983123887307,18,50
poisson_mdss,3,2.0,4,0.42,0.2937500335471198,0.5576655823142176,21,50
poisson_mdss,3,3.0,1,0.1,0.04347576493189041,0.21360231437479654,5,50
poisson_mdss,3,3.0,2,0.24,0.1429739139699173,0.3741268375794292,12,50
poisson_mdss,3,3.0,3,0.36,0.24138749651846741,0.49858983123887307,18,50
poisson_mdss,3,3.0,4,0.44,0.3116219921125717,0.5769397197834315,22,50
fgss,2,1.5,1,0.1,0.04347576493189041,0.21360231437479654,5,50
fgss,2,1.5,2,0.16,0.08337420678033404,0.2851421606303499,8,50
fgss,2,1.5,3,0.32,0.20758216260656845,0.45810297308144077,16,50
fgss,2,1.5,4,0.44,0.3116219921125717,0.5769397197834315,22,50
fgss,2,2.0,1,0.04,0.011038884327619805,0.1346009068750702,2,50
fgss,2,2.0,2,0.22,0.1275391597021442,0.3524154958125367,11,50
fgss,2,2.0,3,0.3,0.19103553500880954,0.437503504644534,15,50
fgss,2,2.0,4,0.44,0.3116219921125717,0.5769397197834315,22,50
fgss,2,3.0,1,0.1,0.04347576493189041,0.21360231437479654,5,50
fgss,2,3.0,2,0.26,0.15871527493552393,0.39553157264848837,13,50
fgss,2,3.0,3,0.42,0.2937500335471198,0.5576655823142176,21,50
fgss,2,3.0,4,0.54,0.40398871399157477,0.6703034780777566,27,50
fgss,3,1.5,1,0.08,0.03154951408859298,0.18838246918342838,4,50
fgss,3,1.5,2,0.2,0.1124375001577611,0.3303710593222542,10,50
fgss,3,1.5,3,0.34,0.2243694922250009,0.478461739497674,17,50
fgss,3,1.5,4,0.48,0.34797135286578046,0.6148825510995539,24,50
fgss,3,2.0,1,0.06,0.02061497034897397,0.16217091688838173,3,50
