method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,2,1.5,2022-Q1,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",True,91.16164873753684,0.044,,,
Poisson-MDSS,2,1.5,2022-Q1,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",True,144.87628048724667,0.005,0.2222222222222222,1.0,0.2222222222222222
Poisson-MDSS,2,1.5,2022-Q2,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,73.63880925284727,0.207,,,
Poisson-MDSS,2,1.5,2022-Q2,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,68.5707821510384,0.254,0.09090909090909091,0.5,0.1
Poisson-MDSS,2,1.5,2022-Q3,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,24.112225185879236,0.539,,,
Poisson-MDSS,2,1.5,2022-Q3,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,41.285619360738536,0.236,0.125,1.0,0.125
Poisson-MDSS,2,1.5,2022-Q4,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,24.495457952861663,0.428,,,
Poisson-MDSS,2,1.5,2022-Q4,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,47.71793503776603,0.092,0.2,1.0,0.2
Poisson-MDSS,2,1.5,2023-Q1,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,72.18510386410101,0.272,,,
Poisson-MDSS,2,1.5,2023-Q1,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,114.61553080208932,0.078,0.2,1.0,0.2
Poisson-MDSS,2,1.5,2023-Q2,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,33.87611999143141,0.659,,,
Poisson-MDSS,2,1.5,2023-Q2,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,84.2643254612991,0.201,0.15384615384615385,1.0,0.15384615384615385
Poisson-MDSS,2,1.5,2023-Q3,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,42.059716073958626,0.577,,,
Poisson-MDSS,2,1.5,2023-Q3,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,123.01446660446226,0.071,0.07692307692307693,0.5,0.08333333333333333
Poisson-MDSS,2,1.5,2023-Q4,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,97.6292728381475,0.077,,,
Poisson-MDSS,2,1.5,2023-Q4,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",True,110.45423373480966,0.047,0.2,1.0,0.2
Poisson-MDSS,2,1.5,2024-Q1,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,143.34443602720125,0.12,,,
Poisson-MDSS,2,1.5,2024-Q1,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",True,226.11782997583208,0.035,0.25,1.0,0.25
Poisson-MDSS,2,1.5,2024-Q2,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",True,165.55482042217204,0.042,,,
Poisson-MDSS,2,1.5,2024-Q2,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",True,264.7173648441162,0.006,0.2,1.0,0.2
Poisson-MDSS,2,1.5,2024-Q3,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,92.92871176919546,0.415,,,
Poisson-MDSS,2,1.5,2024-Q3,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,146.44456217930403,0.181,0.25,1.0,0.25
Poisson-MDSS,2,1.5,2024-Q4,0,clean,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",False,111.36930428268457,0.201,,,
Poisson-MDSS,2,1.5,2024-Q4,0,injected,"{'leader_status': ['FOLLOW'], 'new_renewal': ['Renewal']}",True,203.95619057023646,0.028,0.16666666666666666,1.0,0.16666666666666666
Poisson-MDSS,2,1.5,2022-Q1,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,47.68075084706788,0.274,,,
Poisson-MDSS,2,1.5,2022-Q1,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,71.97890603581857,0.101,0.2222222222222222,1.0,0.2222222222222222
Poisson-MDSS,2,1.5,2022-Q2,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,35.019993051123805,0.616,,,
Poisson-MDSS,2,1.5,2022-Q2,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,32.23880710957809,0.65,0.18181818181818182,1.0,0.18181818181818182
Poisson-MDSS,2,1.5,2022-Q3,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,41.008818562991166,0.238,,,
Poisson-MDSS,2,1.5,2022-Q3,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,65.87490452429779,0.061,0.2,1.0,0.2
Poisson-MDSS,2,1.5,2022-Q4,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,22.10831110773542,0.487,,,
Poisson-MDSS,2,1.5,2022-Q4,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,32.1513147138233,0.261,0.15384615384615385,1.0,0.15384615384615385
Poisson-MDSS,2,1.5,2023-Q1,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,15.166609993430239,0.851,,,
Poisson-MDSS,2,1.5,2023-Q1,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",True,136.94659658442836,0.036,0.18181818181818182,1.0,0.18181818181818182
Poisson-MDSS,2,1.5,2023-Q2,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,47.31942573464461,0.488,,,
Poisson-MDSS,2,1.5,2023-Q2,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,47.4428637503429,0.488,0.16666666666666666,1.0,0.16666666666666666
Poisson-MDSS,2,1.5,2023-Q3,1,clean,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,108.38513466589535,0.102,,,
Poisson-MDSS,2,1.5,2023-Q3,1,injected,"{'risk_code': ['P2'], 'placing_basis_group': ['OPEN MARKET']}",False,62.89457466058863,0.348,0.07142857142857142,0.5,0.07692307692307691
