finding_window,subgroup,trajectory_window,observed_claims,expected_claims,q_hat,is_finding_window,thin_occupancy_window
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2022-Q1,0,0.0,0.0,False,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2022-Q2,24,0.0,9425.01,True,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2022-Q3,0,0.0,0.0,False,True
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2022-Q4,0,0.0,0.0,False,True
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2023-Q1,0,0.0,0.0,False,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2023-Q2,0,0.0,0.0,False,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2023-Q3,15,0.0,5085.621,False,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2023-Q4,0,0.0,0.0,False,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2024-Q1,0,0.0,0.0,False,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2024-Q2,0,0.0,0.0,False,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2024-Q3,0,0.01,0.0,False,False
2022-Q2,group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['East South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)']; placing_basis_group=['OPEN MARKET - FACULTATIVE REINSURANCE']; risk_code=['P6']; syndicate=[1618.0],2024-Q4,0,0.0,0.0,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2022-Q1,7,2.23,3.141,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2022-Q2,2,3.12,0.64,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2022-Q3,50,1.6,31.23,True,True
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2022-Q4,1,1.4,0.716,False,True
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2023-Q1,30,3.48,8.609,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2023-Q2,8,3.55,2.255,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2023-Q3,5,3.62,1.382,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2023-Q4,6,2.97,2.023,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2024-Q1,0,5.06,0.0,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2024-Q2,1,4.54,0.22,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2024-Q3,9,6.22,1.446,False,False
2022-Q3,"group_class=['COMMERCIAL NA OPEN MARKET']; leader_status=['FOLLOW']; loss_census_division=['Middle Atlantic', 'West South Central']; new_renewal=['New']; peril_type=['Severe Storm - Tornado (TD)', 'Tropical Cyclone - Wind (TC)']; placing_basis_group=['OPEN MARKET', 'OPEN MARKET - DIRECT']; risk_code=['P2']",2024-Q4,8,4.68,1.71,False,False
