peril_type,syndicate,group_class,placing_basis_group,leader_status,new_renewal,risk_code,loss_census_division,total_test_observed,expected_flagged_windows,q_hat,n_windows_flagged,first_window,last_window,survives_bonferroni,thin_occupancy_caution,near_zero_expected_artifact,fgss_corroborated
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,Pacific,247,1.6226,152.22,2,2024-Q3,2024-Q4,True,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West South Central,76,2.2037,34.49,4,2023-Q2,2024-Q3,True,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,South Atlantic,72,2.9163,24.69,4,2023-Q2,2024-Q3,True,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West South Central,42,3.6262,11.58,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,39,0.0055,7096.19,2,2022-Q2,2023-Q3,True,False,True,True
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West South Central,37,3.2466,11.4,1,2024-Q1,2024-Q1,False,False,False,True
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,East North Central,34,0.5508,61.73,3,2023-Q3,2024-Q3,True,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,ALL,P2,West South Central,28,5.5975,5.0,1,2024-Q1,2024-Q1,False,False,False,True
Tropical Cyclone - Storm Surge (SU),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,South Atlantic,27,1.2216,22.1,2,2023-Q2,2023-Q3,True,False,False,True
Tropical Cyclone - Wind (TC),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,South Atlantic,26,1.3269,19.59,1,2023-Q2,2023-Q2,True,False,False,True
Non-catastrophe - Fire (NC-F),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - DIRECT,FOLLOW,New,P2,West South Central,24,1.3548,17.71,2,2023-Q2,2023-Q4,True,False,False,True
