peril_type,syndicate,group_class,placing_basis_group,leader_status,new_renewal,risk_code,loss_census_division,total_test_observed,unseen_features
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,39,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,South Atlantic,37,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Tropical Cyclone - Wind (TC),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,South Atlantic,32,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,28,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West South Central,27,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,Mountain,23,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Hail (HL),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,Renewal,P2,West North Central,22,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Tropical Cyclone - Precipitation Flood (PF),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,Pacific,22,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P2,West South Central,13,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,8,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Severe Thunderstorm (ST),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,West South Central,8,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Winter Storm (WS),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,East South Central,6,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
Severe Storm - Tornado (TD),1618.0,COMMERCIAL NA OPEN MARKET,OPEN MARKET - FACULTATIVE REINSURANCE,FOLLOW,New,P6,West South Central,6,placing_basis_group=OPEN MARKET - FACULTATIVE REINSURANCE
